"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1163","090430","아모레퍼시픽",256000,4500,1.79,3477,73.63,65050,3.94,1000,0.39
"1164","090435","아모레퍼시픽우",82200,100,0.12,NA,NA,NA,NA,1005,1.22
"1165","052710","아모텍",34250,-150,-0.44,37,925.68,20412,1.68,0,0
"1166","074430","아미노로직스",2570,25,0.98,NA,NA,590,4.36,0,0
"1167","092040","아미코젠",38650,3300,9.34,5,7730,6354,6.08,0,0
"1168","083930","아바코",12850,-200,-1.53,1364,9.42,8150,1.58,300,2.33
"1169","149950","아바텍",17250,-100,-0.58,499,34.57,8719,1.98,100,0.58
"1170","036010","아비코전자",6840,40,0.59,NA,NA,7706,0.89,70,1.02
"1171","002030","아세아",94400,1000,1.07,25353,3.72,354657,0.27,1750,1.85
"1172","183190","아세아시멘트",91700,1700,1.89,7159,12.81,204892,0.45,1500,1.64
"1173","002310","아세아제지",45900,1750,3.96,6860,6.69,65302,0.7,600,1.31
"1174","050860","아세아텍",3420,40,1.18,60,57,5637,0.61,50,1.46
"1175","246720","아스타",5120,505,10.94,NA,NA,1291,3.97,0,0
"1176","067390","아스트",6200,-60,-0.96,NA,NA,7376,0.84,0,0
"1177","127710","아시아경제",2270,-35,-1.52,146,15.55,4044,0.56,0,0
"1178","267850","아시아나IDT",22800,-50,-0.22,NA,NA,12737,1.79,500,2.19
"1179","020560","아시아나항공",15250,-150,-0.97,NA,NA,10673,1.43,0,0
"1180","154030","아시아종묘",5830,70,1.22,NA,NA,1562,3.73,0,0
"1181","227610","아우딘퓨쳐스",2070,130,6.7,NA,NA,1707,1.21,0,0
"1182","143160","아이디스",27450,200,0.73,185,148.38,14218,1.93,250,0.91
"1183","054800","아이디스홀딩스",12850,0,0,NA,NA,20285,0.63,200,1.56
"1184","332370","아이디피",8230,50,0.61,680,12.1,4385,1.88,0,0
"1185","122900","아이마켓코리아",8950,-50,-0.56,483,18.53,10185,0.88,600,6.7
"1186","339950","아이비김영",1670,-10,-0.6,NA,NA,NA,NA,0,0
"1187","099190","아이센스",24600,-50,-0.2,1723,14.28,14454,1.7,200,0.81
"1188","289010","아이스크림에듀",8110,130,1.63,417,19.45,5793,1.4,100,1.23
"1189","214430","아이쓰리시스템",21100,100,0.48,26,811.54,9715,2.17,70,0.33
"1190","040910","아이씨디",16400,100,0.61,701,23.4,8394,1.95,150,0.91
"1191","068940","아이씨케이",4115,65,1.6,NA,NA,475,8.66,0,0
"1192","052860","아이앤씨",4110,-75,-1.79,339,12.12,3126,1.31,100,2.43
"1193","010780","아이에스동서",53900,400,0.75,2141,25.18,35551,1.52,700,1.3
"1194","069920","아이에스이커머스",4030,145,3.73,NA,NA,1949,2.07,0,0
"1195","038880","아이에이",1465,-20,-1.35,7,209.29,236,6.21,0,0
"1196","123010","아이에이네트웍스",2395,225,10.37,NA,NA,222,10.79,0,0
"1197","307180","아이엘사이언스",3205,-40,-1.23,NA,NA,621,5.16,0,0
"1198","101390","아이엠",1140,-10,-0.87,NA,NA,770,1.48,0,0
"1199","090740","아이엠이연이",4230,-405,-8.74,509,8.31,4372,0.97,50,1.18
"1200","226350","아이엠텍",214,0,0,NA,NA,456,0.47,0,0
"1201","078860","아이오케이",1425,5,0.35,NA,NA,2035,0.7,0,0
"1202","114810","아이원스",8650,450,5.49,NA,NA,4788,1.81,0,0
"1203","031310","아이즈비전",4370,45,1.04,NA,NA,5581,0.78,0,0
"1204","185490","아이진",17800,1750,10.9,NA,NA,1634,10.89,0,0
"1205","059100","아이컴포넌트",6100,140,2.35,NA,NA,4061,1.5,0,0
"1206","262840","아이퀘스트",14500,-200,-1.36,425,34.12,1586,9.14,100,0.69
"1207","175250","아이큐어",44000,-1000,-2.22,NA,NA,12658,3.48,0,0
"1208","052460","아이크래프트",7460,80,1.08,NA,NA,2209,3.38,0,0
"1209","119830","아이텍",8320,20,0.24,NA,NA,5276,1.58,0,0
"1210","052770","아이톡시",3180,0,0,NA,NA,501,6.35,0,0
"1211","124500","아이티센",5580,30,0.54,21,265.71,1882,2.96,0,0
