"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"2020","072520","제넨바이오","KOSDAQ","기타서비스",1870,245,15.08,318105453160
"2021","122310","제노레이","KOSDAQ","의료·정밀기기",9870,10,0.1,143646440280
"2022","361390","제노코","KOSDAQ","통신장비",80100,15100,23.23,195615414000
"2023","187420","제노포커스","KOSDAQ","제약",7730,-220,-2.77,173145893300
"2024","225220","제놀루션","KOSDAQ","제약",29950,1050,3.63,143268520500
"2025","123330","제닉","KOSDAQ","화학",5660,-50,-0.88,3.962e+10
"2026","159580","제로투세븐","KOSDAQ","유통",9810,-80,-0.81,196520159160
"2027","147830","제룡산업","KOSDAQ","금속",6930,100,1.46,6.93e+10
"2028","033100","제룡전기","KOSDAQ","IT부품",6240,30,0.48,100229432160
"2029","079370","제우스","KOSDAQ","기계·장비",28850,800,2.85,299578400000
"2030","054950","제이브이엠","KOSDAQ","기계·장비",36800,-100,-0.27,232977414400
"2031","090470","제이스텍","KOSDAQ","반도체",7120,-70,-0.97,103936392960
"2032","137950","제이씨케미칼","KOSDAQ","화학",6120,30,0.49,136279021680
"2033","033320","제이씨현시스템","KOSDAQ","유통",8170,-90,-1.09,156164909440
"2034","204270","제이앤티씨","KOSDAQ","일반전기전자",9960,120,1.22,576170721360
"2035","026040","제이에스티나","KOSDAQ","기타제조",2050,-10,-0.49,33832769500
"2036","126880","제이엔케이히터","KOSDAQ","기계·장비",7580,-20,-0.26,175893164740
"2037","322510","제이엘케이","KOSDAQ","소프트웨어",9410,130,1.4,142373196490
"2038","033050","제이엠아이","KOSDAQ","출판·매체복제",1195,15,1.27,38932313690
"2039","094970","제이엠티","KOSDAQ","IT부품",3600,-155,-4.13,60293664000
"2040","058420","제이웨이","KOSDAQ","오락·문화",308,0,0,6676487972
"2041","089790","제이티","KOSDAQ","반도체",8080,-110,-1.34,83349345040
"2042","052670","제일바이오","KOSDAQ","제약",7130,0,0,1.0695e+11
