"","Price"
"2020-12-08",9950
"2020-12-09",10050
"2020-12-10",10050
"2020-12-11",10050
"2020-12-14",10000
"2020-12-15",9990
"2020-12-16",9990
"2020-12-17",9990
"2020-12-18",10100
"2020-12-21",10150
"2020-12-22",10150
"2020-12-23",10150
"2020-12-24",10350
"2020-12-28",10500
"2020-12-29",11550
"2020-12-30",11300
"2021-01-04",11400
"2021-01-05",11350
"2021-01-06",10900
"2021-01-07",11000
"2021-01-08",10850
"2021-01-11",11900
"2021-01-12",11900
"2021-01-13",12000
"2021-01-14",11450
"2021-01-15",11300
"2021-01-18",10850
"2021-01-19",11150
"2021-01-20",11200
"2021-01-21",11250
"2021-01-22",11300
"2021-01-25",11350
"2021-01-26",11150
"2021-01-27",11150
"2021-01-28",10750
"2021-01-29",10250
"2021-02-01",10500
"2021-02-02",10650
"2021-02-03",10900
"2021-02-04",10800
"2021-02-05",10850
"2021-02-08",11050
"2021-02-09",10650
"2021-02-10",11550
"2021-02-15",11500
"2021-02-16",11600
"2021-02-17",11500
"2021-02-18",11450
"2021-02-19",11650
"2021-02-22",11400
"2021-02-23",11300
"2021-02-24",11100
"2021-02-25",11050
"2021-02-26",10700
"2021-03-02",10700
"2021-03-03",10700
"2021-03-04",10700
"2021-03-05",10600
"2021-03-08",10300
"2021-03-09",10350
"2021-03-10",10350
"2021-03-11",10550
"2021-03-12",10550
"2021-03-15",10600
"2021-03-16",10650
"2021-03-17",10650
"2021-03-18",10600
"2021-03-19",10700
"2021-03-22",10700
"2021-03-23",10550
"2021-03-24",10600
"2021-03-25",10600
"2021-03-26",10600
"2021-03-29",10650
"2021-03-30",10700
"2021-03-31",10850
"2021-04-01",11000
"2021-04-02",10800
"2021-04-05",10850
"2021-04-06",11050
"2021-04-07",11100
"2021-04-08",11150
"2021-04-09",11100
"2021-04-12",11150
"2021-04-13",11200
"2021-04-14",11300
"2021-04-15",11300
"2021-04-16",11300
"2021-04-19",11350
"2021-04-20",11350
"2021-04-21",11300
"2021-04-22",11600
"2021-04-23",11400
